time,open,high,low,close,volume
1406764800000,85005,86000,85005,86000,1243
1406678400000,83005,83005,83005,83005,120
1406592000000,82005,83000,82000,82000,371
1406246400000,83000,83000,82000,82005,20
1406073600000,81500,83000,81500,83000,169
1405987200000,83000,83000,82500,82995,120
1405900800000,82500,83000,82500,83000,50
1405641600000,82995,82995,82995,82995,0
1405555200000,82995,82995,82995,82995,0
1405468800000,82995,82995,82995,82995,14
1405382400000,83000,83000,82995,82995,17
1405296000000,85000,85000,83500,83500,30
1405036800000,85000,85000,85000,85000,2
1404950400000,85000,85000,84000,84000,40
1404864000000,84000,84000,84000,84000,11
1404777600000,84000,84000,84000,84000,10
1404691200000,84000,84000,84000,84000,15
1404432000000,84000,84000,84000,84000,50
1404345600000,85000,85000,85000,85000,12
1404259200000,85000,85000,85000,85000,15
1404172800000,85000,85000,85000,85000,278
1404086400000,85000,85000,84995,85000,101
1403827200000,84500,85000,84500,85000,27
1403740800000,85000,85000,85000,85000,10
1403654400000,85000,85000,85000,85000,1171
1403568000000,85000,85000,85000,85000,10
1403481600000,84500,85000,84500,85000,89
1403222400000,84500,85000,84500,85000,114
1403136000000,84500,84500,84500,84500,10
1403049600000,84005,84005,84005,84005,2
1402963200000,83000,83000,83000,83000,0
1402876800000,83000,83000,83000,83000,28
1402617600000,81500,83000,81500,83000,12
1402531200000,81500,83000,81500,83000,25
1402444800000,83000,83000,81000,83000,229
1402358400000,83000,84500,83000,83000,104
1402012800000,83000,83000,83000,83000,0
1401926400000,83000,83000,83000,83000,50
1401840000000,86500,86500,86000,86000,6
1401753600000,87000,87000,87000,87000,29
1401667200000,87000,87000,87000,87000,13
1401408000000,87500,87500,87500,87500,0
1401235200000,87495,87500,87495,87500,50
1401148800000,87500,87500,87500,87500,0
1400803200000,87500,87500,87500,87500,16
1400716800000,86500,87000,86500,87000,15
1400630400000,85500,86500,83000,86500,69
1400544000000,86000,86000,86000,86000,67
1400457600000,85000,86000,85000,86000,123
1400198400000,85000,85010,85000,85010,14
1400112000000,85000,85005,85000,85005,16
1400025600000,85005,85005,85000,85000,26
1399939200000,86005,86005,85000,85000,92
1399852800000,85000,85000,85000,85000,0
1399593600000,85000,85000,85000,85000,750
1399507200000,83105,85000,83105,85000,8
1399420800000,85000,85000,83105,83105,69
1399334400000,90000,90000,88200,88200,102
1399248000000,95000,95000,95000,95000,0
1398988800000,95000,95000,95000,95000,0
1398816000000,95000,95000,95000,95000,100
1398729600000,95000,95000,95000,95000,51
1398643200000,95000,95000,95000,95000,9
1398384000000,98000,98000,98000,98000,0
1398211200000,98000,98000,98000,98000,15
1398124800000,98500,98500,98500,98500,0
1397779200000,98500,98500,98500,98500,3
1397692800000,98500,98500,98500,98500,7
1397606400000,98500,98500,98500,98500,12
1397520000000,98500,98500,98500,98500,107
1397433600000,98500,98500,98500,98500,77
1397174400000,98505,98505,98505,98505,0
1397088000000,98495,99000,98495,98505,129
1397001600000,98500,98500,98500,98500,0
1396915200000,98500,98500,98500,98500,0
1396828800000,98500,98500,98500,98500,0
1396569600000,95000,98500,95000,98500,8
1396483200000,95000,95000,95000,95000,1
1396396800000,94000,94000,94000,94000,3
1396310400000,94000,94000,94000,94000,3
1396224000000,92500,92600,92500,92600,16
1395964800000,92500,92500,92500,92500,0
1395878400000,92500,92500,92500,92500,2
1395792000000,92500,92500,92500,92500,10
1395705600000,91250,92465,91250,92465,63
1395619200000,89500,89500,86015,86015,4
1395360000000,89500,89500,89500,89500,103
1395273600000,89500,89500,89500,89500,98
1395187200000,91250,91250,91250,91250,0
1395100800000,91250,91250,91250,91250,0
1395014400000,91250,91250,91250,91250,1
1394755200000,85055,85055,85055,85055,1
1394668800000,85055,85055,85055,85055,0
1394582400000,85055,85055,85055,85055,8
1394496000000,85020,85020,85020,85020,0
1394409600000,85020,85020,85020,85020,1
1394150400000,85020,91300,85020,91300,5
1394064000000,85020,85020,85020,85020,0
1393977600000,85020,85020,85020,85020,2
1393891200000,85020,85020,85020,85020,0
1393804800000,85020,85020,85020,85020,0
1393545600000,85020,85020,85020,85020,0
1393459200000,85020,85020,85020,85020,0
1393372800000,85020,85020,85020,85020,0
1393286400000,85020,85020,85020,85020,0
1393200000000,85020,85020,85020,85020,2
1392940800000,85000,85000,85000,85000,0
1392854400000,85000,85000,85000,85000,3
1392768000000,85000,85000,85000,85000,9
1392681600000,85005,85005,85000,85000,522
1392595200000,83100,83100,83100,83100,0
1392336000000,83100,83100,83100,83100,0
1392249600000,83015,83100,83015,83100,30
1392163200000,82605,82605,82605,82605,0
1392076800000,82605,82605,82605,82605,2
1391990400000,83000,83000,83000,83000,0
1391731200000,83010,83010,82000,83000,131
1391644800000,83000,83000,83000,83000,1
1391558400000,83000,83000,83000,83000,4
1391472000000,82105,82105,82105,82105,0
1391385600000,82105,82105,82105,82105,8
1391126400000,82000,82000,82000,82000,16
1391040000000,81005,81005,81005,81005,0
1390953600000,81005,81005,81005,81005,0
1390867200000,81200,81200,81005,81005,22
1390780800000,82020,82020,82020,82020,10
1390521600000,82000,82015,82000,82015,31
1390435200000,81010,81010,81010,81010,51
1390348800000,81000,81500,81000,81500,28
1390262400000,81010,81010,81005,81005,8
1390176000000,81005,81005,81005,81005,3
1389916800000,81005,81005,81005,81005,30
1389830400000,81000,81000,81000,81000,0
1389744000000,81005,81005,81000,81000,20
1389657600000,81200,81200,81200,81200,0
1389312000000,81200,81200,81200,81200,0
1389225600000,81200,81200,81200,81200,0
1389139200000,81200,81200,81200,81200,65
1389052800000,81200,81200,81200,81200,0
1388966400000,81200,81200,81200,81200,6
1388707200000,81000,81000,81000,81000,0
1388620800000,81000,81000,81000,81000,0
1388448000000,82000,82000,81000,81000,21
1388361600000,85000,85000,85000,85000,11
1388102400000,82000,82000,82000,82000,8
1388016000000,81000,81000,81000,81000,0
1387843200000,81000,81000,81000,81000,3
1387756800000,81500,81500,81500,81500,32
1387497600000,81500,81500,81500,81500,23
1387411200000,81500,81500,81500,81500,5
1387324800000,85000,85000,81005,81005,3
1387238400000,81000,81010,81000,81010,2
1387152000000,84000,84000,84000,84000,0
1386892800000,84000,84000,84000,84000,2
1386806400000,82005,82005,82005,82005,5
1386720000000,82000,82000,82000,82000,300
1386633600000,81000,81010,81000,81005,20
1386547200000,82000,82000,82000,82000,81
1386288000000,82100,82100,82100,82100,86
1386201600000,82100,82100,82100,82100,0
1386115200000,82100,82100,82100,82100,14
1386028800000,82005,84500,82005,82005,41
1385942400000,85000,85000,82010,82010,15
1385683200000,82000,82000,82000,82000,1
1385596800000,82000,82000,82000,82000,0
1385510400000,82000,82000,82000,82000,3
1385424000000,80100,80100,80100,80100,22
1385337600000,80100,80100,80100,80100,0
1385078400000,80005,80100,80005,80100,144
1384992000000,80000,80005,80000,80005,11
1384905600000,80005,80005,80000,80000,5
1384819200000,82000,82000,82000,82000,0
1384732800000,80500,82000,80500,82000,140
1384387200000,78100,80000,78100,80000,19
1384214400000,78100,78100,78100,78100,62
1384128000000,78500,78500,78100,78100,180
1383868800000,80000,80000,80000,80000,24
1383782400000,80000,80000,80000,80000,7
1383696000000,77500,77500,77500,77500,0
1383609600000,77500,77500,77500,77500,0
1383523200000,77500,77500,77500,77500,12
1383177600000,77500,77500,77500,77500,0
1383091200000,80000,80000,77500,77500,44
1383004800000,77600,77600,77600,77600,20
1382918400000,79995,79995,77510,77510,36
1382659200000,80000,80000,77005,77005,48
1382572800000,77000,77000,77000,77000,0
1382486400000,77000,77000,77000,77000,2
1382400000000,76500,76500,76500,76500,0
1382313600000,77000,77000,76500,76500,38
1382054400000,76500,76500,76500,76500,0
1381968000000,76500,76500,76500,76500,1
1381881600000,72500,74000,72500,72500,81
1381708800000,71510,73500,71510,73500,65
1381449600000,71505,71505,71505,71505,7
1381363200000,71510,71510,71505,71505,8
1381276800000,71005,71005,71005,71005,0
1381190400000,71005,71005,71005,71005,8
1381104000000,71015,71015,71015,71015,6
1380844800000,71005,71005,71005,71005,2
1380758400000,71005,71005,71005,71005,0
1380672000000,71000,71005,71000,71005,22
1380585600000,71005,71005,70100,70100,252
1380499200000,71000,71000,71000,71000,10
1380240000000,70000,70000,70000,70000,4
1380153600000,70000,70000,70000,70000,18
1380067200000,70000,70000,70000,70000,33
1379980800000,70000,70000,70000,70000,70
1379894400000,70000,70000,70000,70000,41
1379635200000,70000,70000,70000,70000,2
1379462400000,70000,70000,70000,70000,8
1379376000000,70000,70000,70000,70000,143
1379030400000,70000,70000,70000,70000,70
1378944000000,70000,70000,70000,70000,0
1378857600000,70000,70000,70000,70000,61
1378771200000,70000,70000,70000,70000,0
1378684800000,70000,70000,70000,70000,0
1378339200000,70000,70000,70000,70000,50
1378252800000,70000,70000,70000,70000,24
1378166400000,70000,70000,70000,70000,19
1378080000000,71500,71500,71500,71500,10
1377820800000,71505,71505,71505,71505,36
1377734400000,71505,71505,71505,71505,28
1377648000000,71500,71500,71500,71500,5
1377561600000,71500,71500,71500,71500,0
1377475200000,71500,71500,71500,71500,0
1377216000000,71500,71500,71500,71500,0
1377129600000,71500,71500,71500,71500,10
1377043200000,71505,71505,71505,71505,0
1376956800000,71505,71505,71505,71505,96
1376870400000,71500,71500,71500,71500,27
1376611200000,71505,71505,71505,71505,7
1376438400000,71505,71505,71505,71505,0
1376265600000,71505,71505,71505,71505,0
1376006400000,71505,71505,71505,71505,30
1375747200000,71500,71500,71500,71500,288
1375660800000,71500,71500,71500,71500,17
1375401600000,71500,71500,71500,71500,165
1375315200000,72900,72900,72900,72900,71
1375228800000,71500,71500,71500,71500,42
1375142400000,71500,71500,71500,71500,8
1375056000000,71500,71500,71500,71500,0
1374796800000,71500,71500,71500,71500,0
1374710400000,71500,71500,71500,71500,40
1374624000000,71500,71500,71500,71500,0
1374537600000,71500,71500,71500,71500,25
1374451200000,5,71005,5,71005,64
1374192000000,71005,71005,71005,71005,16
1374105600000,71000,71000,71000,71000,0
1374019200000,71000,71000,71000,71000,150
1373932800000,71000,71000,71000,71000,0
1373846400000,71000,71000,71000,71000,27
1373587200000,70500,70500,70500,70500,0
1373500800000,70500,70500,70500,70500,164
1373414400000,70500,70500,70500,70500,0
1373328000000,70500,70500,70500,70500,46
1373241600000,70000,70000,70000,70000,10
1372982400000,67000,67000,67000,67000,30
1372896000000,66650,66650,66650,66650,32
1372809600000,66550,66550,66550,66550,2
1372636800000,66550,66550,66550,66550,36
1372377600000,66550,66550,66550,66550,598
1372291200000,66000,66000,66000,66000,60
1372204800000,65500,65500,65500,65500,46
1372118400000,65200,65200,65200,65200,2
1372032000000,65200,65200,65200,65200,145
1371772800000,62900,62900,62900,62900,50
1371686400000,68000,68000,68000,68000,122
1371600000000,69375,69375,69375,69375,78
1371513600000,75000,75000,75000,75000,121
1371427200000,75000,75000,75000,75000,81
1371168000000,72000,72000,72000,72000,56
1371081600000,71000,71000,71000,71000,100
1370995200000,90300,90300,90300,90300,16
1370908800000,84000,84000,84000,84000,0
1370822400000,84000,84000,84000,84000,15
1370563200000,80000,80000,80000,80000,45
1370476800000,75000,75000,75000,75000,77
1370390400000,80000,80000,80000,80000,33
1370304000000,81000,81000,81000,81000,46
1370217600000,77000,77000,77000,77000,0
1369958400000,77000,77000,77000,77000,165
1369872000000,77000,77000,77000,77000,0
1369785600000,77000,77000,77000,77000,10
1369699200000,81810,81810,81810,81810,45
1369612800000,81810,81810,81810,81810,8
1369353600000,76105,76105,76105,76105,75
1369267200000,75895,75895,75895,75895,0
1369180800000,75895,75895,75895,75895,0
1369094400000,75895,75895,75895,75895,13
1368748800000,70600,70600,70600,70600,10
1368662400000,70000,70000,70000,70000,0
1368576000000,70000,70000,70000,70000,104
1368489600000,70000,70000,70000,70000,0
1368403200000,70000,70000,70000,70000,626
1368144000000,70000,70000,70000,70000,0
1367971200000,70000,70000,70000,70000,0
1367884800000,70000,70000,70000,70000,0
1367798400000,70000,70000,70000,70000,0
1367539200000,70000,70000,70000,70000,0
1367452800000,70000,70000,70000,70000,0
1367280000000,70000,70000,70000,70000,0
1367193600000,70000,70000,70000,70000,0
1366934400000,70000,70000,70000,70000,0
1366848000000,70000,70000,70000,70000,3
1366761600000,70000,70000,70000,70000,15
1366675200000,68400,68400,68400,68400,0
1366588800000,68400,68400,68400,68400,0
1366329600000,68400,68400,68400,68400,23
1366243200000,80000,80000,80000,80000,21
1365984000000,80000,80000,80000,80000,13
1365724800000,80000,80000,80000,80000,34
1365552000000,75000,75000,75000,75000,9
1365379200000,80000,80000,80000,80000,40
1365120000000,80000,80000,80000,80000,1309
1365033600000,75000,75000,75000,75000,13
1364860800000,75000,75000,75000,75000,84
1364515200000,75000,75000,75000,75000,57
1364428800000,75000,75000,75000,75000,67
1364342400000,70000,70000,70000,70000,146
1364169600000,66745,66745,66745,66745,100
1363910400000,62090,62090,62090,62090,261
1363824000000,57765,57765,57765,57765,73
1363737600000,53800,53800,53800,53800,87
1363651200000,50050,50050,50050,50050,311
1363564800000,53750,53750,53750,53750,8
1363305600000,50000,50000,50000,50000,12
1363219200000,48000,48000,48000,48000,30
1363046400000,45000,45000,45000,45000,40
1362528000000,44700,44700,44700,44700,43
1361923200000,44600,44600,44600,44600,10
1361491200000,44600,44600,44600,44600,2
1361232000000,44600,44600,44600,44600,27
1360886400000,44600,44600,44600,44600,17
1360627200000,44500,44500,44500,44500,16
1360022400000,44300,44300,44300,44300,29
1359936000000,44300,44300,44300,44300,20
1359504000000,47600,47600,47600,47600,8
1359331200000,44300,44300,44300,44300,22
1358812800000,44300,44300,44300,44300,8
1358726400000,44300,44300,44300,44300,5
1358467200000,44300,44300,44300,44300,254
